joined,left,difference
1868-10-30,1868-12-31,62
1868-10-30,1868-12-31,62
1869-01-02,1869-03-02,59
1869-01-02,1869-03-02,59
1869-01-02,1869-03-02,59
1869-01-02,1869-03-02,59
1869-10-09,1869-12-23,75
1870-07-02,1870-09-19,79
1870-03-02,1870-07-01,121
1870-03-05,1870-04-19,45
1870-04-26,1870-06-21,56
1870-03-07,1870-05-23,77
1870-04-25,1870-07-01,67
1870-05-26,1870-06-21,26
1870-07-02,1870-08-10,39
1870-07-03,1870-08-06,34
1870-08-08,1870-09-22,45
1870-07-02,1870-08-10,39
1870-09-23,1870-12-07,75
1870-08-02,1870-09-19,48
1870-08-08,1870-09-22,45
1871-01-05,1871-05-19,134
1871-01-05,1871-02-24,50
1870-09-23,1870-12-07,75
1870-08-03,1870-08-06,3
1871-01-05,1871-01-13,8
1871-05-23,1871-06-23,31
1871-04-08,1871-05-18,40
1871-02-04,1871-07-14,160
1871-04-06,1871-06-24,79
1871-01-15,1871-04-01,76
1871-02-28,1871-04-04,35
1871-02-04,1871-07-01,147
1871-01-04,1871-05-19,135
1871-04-08,1871-05-18,40
1871-01-04,1871-02-24,51
1871-01-04,1871-01-13,9
1871-04-06,1871-06-24,79
1871-01-15,1871-04-01,76
1871-02-28,1871-04-04,35
1871-06-29,1871-06-30,1
1871-05-23,1871-06-23,31
1871-05-23,1871-06-30,38
1871-09-09,1871-12-29,111
1871-09-20,1871-12-19,90
1871-09-04,1871-12-29,116
1872-07-01,1873-01-01,184
1872-12-13,1873-01-01,19
1872-11-12,1873-01-01,50
1872-07-01,1873-01-01,184
1874-04-07,1874-07-14,98
1872-07-01,1872-11-21,143
1872-07-01,1872-11-21,143
1872-07-01,1872-10-30,121
1874-08-10,1874-07-14,27
1874-04-08,1874-06-04,57
1874-04-13,1874-07-14,92
1874-04-23,1874-06-02,40
1863-04-20,1863-04-21,1
1862-12-20,1863-04-20,121
1863-05-27,1863-09-04,100
1862-12-18,1863-09-04,260
1862-12-18,1863-09-04,260
1866-02-22,1866-05-07,74
1862-12-19,1863-09-04,259
1866-02-28,1866-05-07,68
1866-05-18,1866-10-03,138
1866-02-28,1866-05-07,68
1866-05-18,1866-10-03,138
1866-05-18,1866-10-03,138
1866-05-18,1866-10-03,138
1866-03-01,1866-05-07,67
1866-11-16,1867-04-10,145
1866-11-16,1867-05-17,182
1866-11-16,1867-05-17,182
1866-11-20,1867-05-17,178
1867-06-29,1867-10-17,110
1867-06-29,1867-10-17,110
1867-06-29,1867-10-17,110
1867-06-29,1867-10-17,110
1866-11-16,1867-05-17,182
1867-06-29,1867-10-17,110
1867-10-25,1867-12-20,56
1867-10-25,1867-12-20,56
1869-03-30,1869-07-01,93
1869-03-30,1869-07-01,93
1869-03-30,1869-07-14,106
1869-03-30,1869-07-14,106
1869-03-30,1869-07-01,93
1869-07-15,1869-09-03,50
1869-03-30,1869-07-14,106
1869-07-15,1869-09-03,50
